Device_name,MAC_Address,Interface,Location,Check time
CNSUZ-SWP06,0056.2b1f.e597,Gi4/0/19,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,4473.d676.a33e,Gi1/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,4473.d6b2.ca8e,Gi1/0/20,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,488b.0a7e.d41f,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,488b.0a7e.d6b9,Gi2/0/33,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.b9aa,Gi4/0/23,FB_5-2,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.bb8b,Gi1/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e825.85e5,Gi2/0/31,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e82d.1413,Gi2/0/42,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e82d.15ba,Gi4/0/16,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e82d.24af,Gi1/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e82f.ffeb,Gi4/0/19,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.58f7,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.5942,Gi1/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.7d26,Gi4/0/15,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.7f9b,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.a33f,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e837.8ae0,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e837.8ba8,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e837.8f6d,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e848.6124,Gi1/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.808d,Gi1/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84c.1d8d,Gi1/0/3,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.b07c,Gi2/0/39,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.e655,Gi1/0/2,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.ed8c,Gi3/0/13,FB_1-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.ee3a,Gi4/0/23,FB_5-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.f92e,Gi4/0/23,FB_5-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e461,Gi2/0/33,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0b8.d4cb,Gi2/0/39,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0b8.d89e,Gi4/0/16,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0be.1dcc,Gi2/0/33,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,8cec.4b92.52ba,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,8cec.4bb9.69eb,Gi1/0/12,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,a488.73a2.d14c,Gi3/0/13,FB_1-7,2025-09-16 13:58:32
CNSUZ-SWP06,b07b.2510.7a6b,Gi4/0/16,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c86b.bc74.8c3c,Gi2/0/38,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c86b.bc74.8c50,Gi2/0/37,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c86b.bc74.8e3c,Gi2/0/38,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c86b.bc74.8e5e,Gi2/0/37,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8b2.26f5,Gi1/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0b8.d4cb,Gi2/0/39,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0b8.d89e,Gi4/0/16,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0be.1dcc,Gi2/0/33,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,009e.1e17.ed45,Gi3/0/8,FB_1-4,2025-09-16 13:58:32
CNSUZ-SWP06,3c57.312b.5e28,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.ba51,Gi3/0/12,FB_1-6,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.c170,Gi3/0/4,FB_1-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e835.98d4,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.7875,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e840.fce4,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e847.e5c0,Gi3/0/4,FB_1-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e849.6608,Gi3/0/1,FB_1-1,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.0aa2,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.b4b2,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e856.5bb2,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e32b,Gi3/0/5,FB_1-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e86c.e29f,Gi3/0/1,FB_1-1,2025-09-16 13:58:32
CNSUZ-SWP06,f01d.2da9.7147,Gi3/0/10,FB_1-5,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.0f75,Gi4/0/44,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.0f7b,Gi4/0/47,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.8ae0,Gi4/0/37,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.8b2f,Gi4/0/42,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.8b40,Gi4/0/46,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.8b42,Gi4/0/38,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.8b49,Gi4/0/43,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.8ba8,Gi4/0/39,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.61c7.55fb,Gi4/0/35,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0001.fc7a.2d6b,Gi3/0/16,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,000e.c66a.03d4,Gi3/0/15,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,0030.6459.4178,Gi3/0/16,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,0030.645a.0acf,Gi3/0/16,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,0059.dcd3.c784,Gi3/0/46,FB_4-2,2025-09-16 13:58:32
CNSUZ-SWP06,0059.dcd3.c7ad,Gi3/0/41,FB_3-7,2025-09-16 13:58:32
CNSUZ-SWP06,009e.1e1c.f501,Gi3/0/42,FB_3-7,2025-09-16 13:58:32
CNSUZ-SWP06,00df.1d11.732b,Gi3/0/31,FB_3-2,2025-09-16 13:58:32
CNSUZ-SWP06,1098.191e.ca2d,Gi2/0/34,Unknown,2025-09-16 13:58:32
